date_time,b_code,usage,peak
201901022030,SGBD,243.54,974.16
201901022045,SGBD,238.14,952.56
201901022100,SGBD,237.06,948.24
201901022115,SGBD,236.88,947.52
201901022130,SGBD,236.34,945.36
201901022145,SGBD,232.92,931.68
201901022200,SGBD,233.64,934.56
201901022215,SGBD,234.18,936.72
201901022230,SGBD,229.86,919.44
201901022245,SGBD,234.72,938.88
201901022300,SGBD,233.1,932.4
201901022315,SGBD,230.76,923.04
201901022330,SGBD,233.46,933.84
201901022345,SGBD,233.64,934.56
201901030000,SGBD,232.2,928.8
201901030015,SGBD,232.92,931.68
201901030030,SGBD,232.2,928.8
201901030045,SGBD,230.58,922.32
201901030100,SGBD,231.66,926.64
201901030115,SGBD,229.32,917.28
201901030130,SGBD,227.52,910.08
201901030145,SGBD,229.68,918.72
201901030200,SGBD,228.06,912.24
201901030215,SGBD,226.62,906.48
201901030230,SGBD,229.32,917.28
201901030245,SGBD,226.98,907.92
201901030300,SGBD,226.26,905.04
201901030315,SGBD,227.88,911.52
201901030330,SGBD,226.8,907.2
201901030345,SGBD,225.9,903.6
201901030400,SGBD,233.1,932.4
201901030415,SGBD,229.86,919.44
201901030430,SGBD,229.68,918.72
201901030445,SGBD,228.42,913.68
201901030500,SGBD,232.74,930.96
201901030515,SGBD,230.58,922.32
201901030530,SGBD,231.66,926.64
201901030545,SGBD,233.28,933.12
201901030600,SGBD,235.8,943.2
201901030615,SGBD,235.44,941.76
201901030630,SGBD,239.04,956.16
201901030645,SGBD,237.78,951.12
201901030700,SGBD,239.04,956.16
201901030715,SGBD,238.86,955.44
201901030730,SGBD,235.98,943.92
201901030745,SGBD,237.24,948.96
201901030800,SGBD,233.28,933.12
201901030815,SGBD,230.94,923.76
201901030830,SGBD,230.22,920.88
201901030845,SGBD,234,936
201901030900,SGBD,232.02,928.08
201901030915,SGBD,232.2,928.8
201901030930,SGBD,235.44,941.76
201901030945,SGBD,232.38,929.52
201901031000,SGBD,239.76,959.04
201901031015,SGBD,242.1,968.4
201901031030,SGBD,239.94,959.76
201901031045,SGBD,241.56,966.24
201901031100,SGBD,242.82,971.28
201901031115,SGBD,236.16,944.64
201901031130,SGBD,235.62,942.48
201901031145,SGBD,237.6,950.4
201901031200,SGBD,234.36,937.44
201901031215,SGBD,238.14,952.56
201901031230,SGBD,237.24,948.96
201901031245,SGBD,234.36,937.44
201901031300,SGBD,238.68,954.72
201901031315,SGBD,238.68,954.72
201901031330,SGBD,234.18,936.72
201901031345,SGBD,245.16,980.64
201901031400,SGBD,243.54,974.16
201901031415,SGBD,245.7,982.8
201901031430,SGBD,244.44,977.76
201901031445,SGBD,239.58,958.32
201901031500,SGBD,241.56,966.24
201901031515,SGBD,243.18,972.72
201901031530,SGBD,242.28,969.12
201901031545,SGBD,237.78,951.12
201901031600,SGBD,241.38,965.52
201901031615,SGBD,240.66,962.64
201901031630,SGBD,235.8,943.2
201901031645,SGBD,237.24,948.96
201901031700,SGBD,239.22,956.88
201901031715,SGBD,237.78,951.12
201901031730,SGBD,243.18,972.72
201901031745,SGBD,243,972
201901031800,SGBD,240.66,962.64
201901031815,SGBD,243.18,972.72
201901031830,SGBD,243.9,975.6
201901031845,SGBD,239.94,959.76
201901031900,SGBD,244.8,979.2
201901031915,SGBD,243,972
201901031930,SGBD,243.18,972.72
201901031945,SGBD,245.52,982.08
201901032000,SGBD,242.46,969.84
201901032015,SGBD,243.36,973.44
201901032030,SGBD,242.1,968.4
201901032045,SGBD,239.22,956.88
201901032100,SGBD,242.82,971.28
201901032115,SGBD,239.94,959.76
201901032130,SGBD,234.9,939.6
201901032145,SGBD,235.8,943.2
201901032200,SGBD,235.62,942.48
201901032215,SGBD,232.02,928.08
201901032230,SGBD,233.46,933.84
201901032245,SGBD,235.8,943.2
201901032300,SGBD,230.94,923.76
201901032315,SGBD,233.28,933.12
201901032330,SGBD,234.9,939.6
201901032345,SGBD,233.46,933.84
201901040000,SGBD,235.08,940.32
201901040015,SGBD,235.44,941.76
201901040030,SGBD,234,936
201901040045,SGBD,235.98,943.92
201901040100,SGBD,233.82,935.28
201901040115,SGBD,231.66,926.64
201901040130,SGBD,232.92,931.68
201901040145,SGBD,231.12,924.48
201901040200,SGBD,228.96,915.84
201901040215,SGBD,232.74,930.96
201901040230,SGBD,231.48,925.92
201901040245,SGBD,231.3,925.2
201901040300,SGBD,231.66,926.64
201901040315,SGBD,229.14,916.56
201901040330,SGBD,229.68,918.72
201901040345,SGBD,232.2,928.8
201901040400,SGBD,233.46,933.84
201901040415,SGBD,240.66,962.64
201901040430,SGBD,243.54,974.16
201901040445,SGBD,241.38,965.52
201901040500,SGBD,241.56,966.24
201901040515,SGBD,247.86,991.44
201901040530,SGBD,248.94,995.76
201901040545,SGBD,252.54,1010.16
201901040600,SGBD,260.28,1041.12
201901040615,SGBD,264.78,1059.12
201901040630,SGBD,276.3,1105.2
201901040645,SGBD,288,1152
201901040700,SGBD,297.18,1188.72
201901040715,SGBD,306.18,1224.72
201901040730,SGBD,316.98,1267.92
201901040745,SGBD,329.58,1318.32
201901040800,SGBD,326.16,1304.64
201901040815,SGBD,339.12,1356.48
201901040830,SGBD,337.5,1350
201901040845,SGBD,348.66,1394.64
201901040900,SGBD,357.66,1430.64
201901040915,SGBD,359.1,1436.4
201901040930,SGBD,364.5,1458
201901040945,SGBD,361.98,1447.92
201901041000,SGBD,368.1,1472.4
201901041015,SGBD,375.84,1503.36
201901041030,SGBD,372.06,1488.24
201901041045,SGBD,377.82,1511.28
201901041100,SGBD,377.64,1510.56
201901041115,SGBD,386.64,1546.56
201901041130,SGBD,382.14,1528.56
201901041145,SGBD,381.24,1524.96
201901041200,SGBD,358.74,1434.96
201901041215,SGBD,353.88,1415.52
201901041230,SGBD,360.36,1441.44
201901041245,SGBD,358.2,1432.8
201901041300,SGBD,376.74,1506.96
201901041315,SGBD,376.02,1504.08
201901041330,SGBD,384.66,1538.64
201901041345,SGBD,391.68,1566.72
201901041400,SGBD,394.56,1578.24
201901041415,SGBD,391.14,1564.56
201901041430,SGBD,400.14,1600.56
201901041445,SGBD,399.24,1596.96
201901041500,SGBD,392.4,1569.6
201901041515,SGBD,391.14,1564.56
201901041530,SGBD,387.72,1550.88
201901041545,SGBD,387.18,1548.72
201901041600,SGBD,387.36,1549.44
201901041615,SGBD,385.56,1542.24
201901041630,SGBD,378.36,1513.44
201901041645,SGBD,385.92,1543.68
201901041700,SGBD,391.14,1564.56
201901041715,SGBD,378.72,1514.88
201901041730,SGBD,384.66,1538.64
201901041745,SGBD,380.88,1523.52
201901041800,SGBD,370.8,1483.2
201901041815,SGBD,365.94,1463.76
201901041830,SGBD,371.34,1485.36
201901041845,SGBD,363.42,1453.68
201901041900,SGBD,361.98,1447.92
201901041915,SGBD,359.28,1437.12
201901041930,SGBD,344.7,1378.8
201901041945,SGBD,340.74,1362.96
201901042000,SGBD,336.6,1346.4
201901042015,SGBD,334.62,1338.48
201901042030,SGBD,335.16,1340.64
201901042045,SGBD,331.02,1324.08
201901042100,SGBD,314.82,1259.28
201901042115,SGBD,311.04,1244.16
201901042130,SGBD,309.78,1239.12
201901042145,SGBD,301.5,1206
201901042200,SGBD,300.42,1201.68
201901042215,SGBD,291.06,1164.24
201901042230,SGBD,284.94,1139.76
201901042245,SGBD,285.84,1143.36
201901042300,SGBD,285.12,1140.48
201901042315,SGBD,284.22,1136.88
201901042330,SGBD,282.78,1131.12
201901042345,SGBD,286.38,1145.52
201901050000,SGBD,288.18,1152.72
201901050015,SGBD,291.96,1167.84
201901050030,SGBD,291.78,1167.12
201901050045,SGBD,284.22,1136.88
201901050100,SGBD,280.62,1122.48
201901050115,SGBD,281.52,1126.08
201901050130,SGBD,281.34,1125.36
201901050145,SGBD,279.9,1119.6
201901050200,SGBD,278.46,1113.84
201901050215,SGBD,276.3,1105.2
201901050230,SGBD,279.72,1118.88
201901050245,SGBD,280.44,1121.76
201901050300,SGBD,277.02,1108.08
201901050315,SGBD,278.46,1113.84
201901050330,SGBD,281.52,1126.08
201901050345,SGBD,277.56,1110.24
201901050400,SGBD,280.08,1120.32
201901050415,SGBD,278.64,1114.56
201901050430,SGBD,277.74,1110.96
201901050445,SGBD,278.46,1113.84
201901050500,SGBD,283.14,1132.56
201901050515,SGBD,279.9,1119.6
201901050530,SGBD,285.3,1141.2
201901050545,SGBD,285.84,1143.36
201901050600,SGBD,289.8,1159.2
201901050615,SGBD,297.72,1190.88
201901050630,SGBD,303.48,1213.92
201901050645,SGBD,312.12,1248.48
201901050700,SGBD,316.8,1267.2
201901050715,SGBD,319.32,1277.28
201901050730,SGBD,337.32,1349.28
201901050745,SGBD,348.12,1392.48
201901050800,SGBD,346.68,1386.72
